trial_idx,bin,value
8914,0,0.0
8914,1,0.0
8914,2,1464.713150024414
8914,3,3101.7450561523438
8914,4,8702.121826171875
8914,5,10166.83984375
8914,6,14733.2724609375
8914,7,15077.8564453125
8914,8,13440.8583984375
8914,9,15164.1708984375
8914,10,11976.26171875
8914,11,9477.6171875
8914,12,6462.01171875
8914,13,4049.52734375
8914,14,1292.40234375
8914,15,861.6015625
1725,0,0.0
1725,1,86.15959930419922
1725,2,1033.915153503418
1725,3,5772.6923828125
1725,4,8874.443359375
1725,5,11459.235107421875
1725,6,14388.6142578125
1725,7,14905.5380859375
1725,8,16714.9697265625
1725,9,14130.2607421875
1725,10,14647.2265625
1725,11,9994.578125
1725,12,6720.4921875
1725,13,2929.443359375
1725,14,1637.04296875
1725,15,603.12109375
5056,0,86.15959930419922
5056,1,0.0
5056,2,1120.0747604370117
5056,3,5255.734375
5056,4,9219.081787109375
5056,5,12148.512451171875
5056,6,14302.45166015625
5056,7,15508.65234375
5056,8,14991.7744140625
5056,9,14647.2265625
5056,10,12924.0234375
5056,11,10339.21875
5056,12,5255.76953125
5056,13,3618.7265625
5056,14,861.6015625
5056,15,689.28125
4856,0,86.15959930419922
4856,1,0.0
4856,2,1120.0747604370117
4856,3,5255.734375
4856,4,9219.081787109375
4856,5,12148.512451171875
4856,6,14302.45166015625
4856,7,15508.65234375
4856,8,14991.7744140625
4856,9,14647.2265625
4856,10,12924.0234375
4856,11,10339.21875
4856,12,5255.76953125
4856,13,3618.7265625
4856,14,861.6015625
4856,15,689.28125
4864,0,86.15959930419922
4864,1,0.0
4864,2,1120.0747604370117
4864,3,5255.734375
4864,4,9219.081787109375
4864,5,12148.512451171875
4864,6,14302.45166015625
4864,7,15508.65234375
4864,8,14991.7744140625
4864,9,14647.2265625
4864,10,12924.0234375
4864,11,10339.21875
4864,12,5255.76953125
4864,13,3618.7265625
4864,14,861.6015625
4864,15,689.28125
4857,0,86.15959930419922
4857,1,0.0
4857,2,1120.0747604370117
4857,3,5255.734375
4857,4,9219.081787109375
4857,5,12148.512451171875
4857,6,14302.45166015625
4857,7,15508.65234375
4857,8,14991.7744140625
4857,9,14647.2265625
4857,10,12924.0234375
4857,11,10339.21875
4857,12,5255.76953125
4857,13,3618.7265625
4857,14,861.6015625
4857,15,689.28125
4847,0,86.15959930419922
4847,1,0.0
4847,2,1120.0747604370117
4847,3,5255.734375
4847,4,9219.081787109375
4847,5,12148.512451171875
4847,6,14302.45166015625
4847,7,15508.65234375
4847,8,14991.7744140625
4847,9,14647.2265625
4847,10,12924.0234375
4847,11,10339.21875
4847,12,5255.76953125
4847,13,3618.7265625
4847,14,861.6015625
4847,15,689.28125
4854,0,86.15959930419922
4854,1,0.0
4854,2,1120.0747604370117
4854,3,5255.734375
4854,4,9219.081787109375
4854,5,12148.512451171875
4854,6,14302.45166015625
4854,7,15508.65234375
4854,8,14991.7744140625
4854,9,14647.2265625
4854,10,12924.0234375
4854,11,10339.21875
4854,12,5255.76953125
4854,13,3618.7265625
4854,14,861.6015625
4854,15,689.28125
4852,0,86.15959930419922
4852,1,0.0
4852,2,1120.0747604370117
4852,3,5255.734375
4852,4,9219.081787109375
4852,5,12148.512451171875
4852,6,14302.45166015625
4852,7,15508.65234375
4852,8,14991.7744140625
4852,9,14647.2265625
4852,10,12924.0234375
4852,11,10339.21875
4852,12,5255.76953125
4852,13,3618.7265625
4852,14,861.6015625
4852,15,689.28125
4850,0,86.15959930419922
4850,1,0.0
4850,2,1120.0747604370117
4850,3,5255.734375
4850,4,9219.081787109375
4850,5,12148.512451171875
4850,6,14302.45166015625
4850,7,15508.65234375
4850,8,14991.7744140625
4850,9,14647.2265625
4850,10,12924.0234375
4850,11,10339.21875
4850,12,5255.76953125
4850,13,3618.7265625
4850,14,861.6015625
4850,15,689.28125
4858,0,86.15959930419922
4858,1,0.0
4858,2,1120.0747604370117
4858,3,5255.734375
4858,4,9219.081787109375
4858,5,12148.512451171875
4858,6,14302.45166015625
4858,7,15508.65234375
4858,8,14991.7744140625
4858,9,14647.2265625
4858,10,12924.0234375
4858,11,10339.21875
4858,12,5255.76953125
4858,13,3618.7265625
4858,14,861.6015625
4858,15,689.28125
7545,0,0.0
7545,1,86.15959930419922
7545,2,1464.7131576538086
7545,3,4652.6170654296875
7545,4,6978.9306640625
7545,5,11028.4365234375
7545,6,14043.99462890625
7545,7,15164.015625
7545,8,14991.736328125
7545,9,15250.337890625
7545,10,13010.18359375
7545,11,9219.13671875
7545,12,5945.05078125
7545,13,2929.4453125
7545,14,1723.203125
7545,15,1033.921875
6016,0,0.0
6016,1,86.15959930419922
6016,2,1033.9151611328125
6016,3,4135.659973144531
6016,4,7840.52587890625
6016,5,12234.671875
6016,6,13871.669921875
6016,7,15422.4931640625
6016,8,16714.943359375
6016,9,13354.82421875
6016,10,13182.50390625
6016,11,9822.2578125
6016,12,5341.9296875
6016,13,3704.88671875
6016,14,1292.40234375
6016,15,1033.921875
7638,0,0.0
7638,1,0.0
7638,2,689.2767944335938
7638,3,4307.979064941406
7638,4,8960.601318359375
7638,5,11545.39453125
7638,6,14216.3056640625
7638,7,15853.2890625
7638,8,16542.6337890625
7638,9,15767.30859375
7638,10,10683.859375
7638,11,9822.2578125
7638,12,6462.01171875
7638,13,3618.7265625
7638,14,1895.521484375
7638,15,516.9609375
9100,0,0.0
9100,1,172.31919860839844
9100,2,861.5960083007812
9100,3,3704.8623046875
9100,4,7495.886474609375
9100,5,11114.59619140625
9100,6,14733.27001953125
9100,7,15680.9736328125
9100,8,15336.3837890625
9100,9,14561.0537109375
9100,10,13440.984375
9100,11,9822.2578125
9100,12,5255.76953125
9100,13,3704.88671875
9100,14,947.76171875
9100,15,1033.921875
7438,0,0.0
7438,1,86.15959930419922
7438,2,1464.7131652832031
7438,3,3446.38330078125
7438,4,8529.802978515625
7438,5,12493.15087890625
7438,6,14043.984375
7438,7,15853.2890625
7438,8,17662.7197265625
7438,9,15508.828125
7438,10,13354.82421875
7438,11,8443.6953125
7438,12,5686.5703125
7438,13,3360.24609375
7438,14,1550.8828125
7438,15,947.76171875
7435,0,0.0
7435,1,86.15959930419922
7435,2,1464.7131652832031
7435,3,3446.38330078125
7435,4,8529.802978515625
7435,5,12493.15087890625
7435,6,14043.984375
7435,7,15853.2890625
7435,8,17662.7197265625
7435,9,15508.828125
7435,10,13354.82421875
7435,11,8443.6953125
7435,12,5686.5703125
7435,13,3360.24609375
7435,14,1550.8828125
7435,15,947.76171875
9326,0,0.0
9326,1,0.0
9326,2,1292.3939819335938
9326,3,4394.138427734375
9326,4,9563.719482421875
9326,5,11976.193359375
9326,6,12837.7451171875
9326,7,15853.29296875
9326,8,15336.3974609375
9326,9,15422.666015625
9326,10,13182.50390625
9326,11,9046.81640625
9326,12,4824.96875
9326,13,3187.92578125
9326,14,1550.8828125
9326,15,1206.2421875
9677,0,0.0
9677,1,86.15959930419922
9677,2,1120.0747909545898
9677,3,4135.659912109375
9677,4,6978.929443359375
9677,5,11717.7138671875
9677,6,14130.1533203125
9677,7,16628.72314453125
9677,8,15250.2412109375
9677,9,15939.6103515625
9677,10,13268.6640625
9677,11,9822.2578125
9677,12,6548.171875
9677,13,3618.7265625
9677,14,1981.68359375
9677,15,603.12109375
9682,0,0.0
9682,1,86.15959930419922
9682,2,1120.0747909545898
9682,3,4135.659912109375
9682,4,6978.929443359375
9682,5,11717.7138671875
9682,6,14130.1533203125
9682,7,16628.72314453125
9682,8,15250.2412109375
9682,9,15939.6103515625
9682,10,13268.6640625
9682,11,9822.2578125
9682,12,6548.171875
9682,13,3618.7265625
9682,14,1981.68359375
9682,15,603.12109375
9685,0,0.0
9685,1,86.15959930419922
9685,2,1120.0747909545898
9685,3,4135.659912109375
9685,4,6978.929443359375
9685,5,11717.7138671875
9685,6,14130.1533203125
9685,7,16628.72314453125
9685,8,15250.2412109375
9685,9,15939.6103515625
9685,10,13268.6640625
9685,11,9822.2578125
9685,12,6548.171875
9685,13,3618.7265625
9685,14,1981.68359375
9685,15,603.12109375
9678,0,0.0
9678,1,86.15959930419922
9678,2,1120.0747909545898
9678,3,4135.659912109375
9678,4,6978.929443359375
9678,5,11717.7138671875
9678,6,14130.1533203125
9678,7,16628.72314453125
9678,8,15250.2412109375
9678,9,15939.6103515625
9678,10,13268.6640625
9678,11,9822.2578125
9678,12,6548.171875
9678,13,3618.7265625
9678,14,1981.68359375
9678,15,603.12109375
1718,0,0.0
1718,1,86.15959930419922
1718,2,1378.5535583496094
1718,3,4307.979309082031
1718,4,7495.887451171875
1718,5,12148.51220703125
1718,6,13613.19189453125
1718,7,16284.0849609375
1718,8,15508.7216796875
1718,9,14302.5732421875
1718,10,14474.90625
1718,11,9563.77734375
1718,12,4652.6484375
1718,13,3187.92578125
1718,14,1895.5234375
1718,15,603.12109375
8070,0,0.0
8070,1,172.31919860839844
8070,2,1292.3939895629883
8070,3,4997.2552490234375
8070,4,8099.006591796875
8070,5,11717.714111328125
8070,6,13699.34619140625
8070,7,16025.607421875
8070,8,15681.041015625
8070,9,13957.94140625
8070,10,12665.54296875
8070,11,7323.61328125
8070,12,5858.890625
8070,13,2067.84375
8070,14,1464.72265625
8070,15,430.80078125
8068,0,0.0
8068,1,172.31919860839844
8068,2,1292.3939895629883
8068,3,4997.2552490234375
8068,4,8099.006591796875
8068,5,11717.714111328125
8068,6,13699.34619140625
8068,7,16025.607421875
8068,8,15681.041015625
8068,9,13957.94140625
8068,10,12665.54296875
8068,11,7323.61328125
8068,12,5858.890625
8068,13,2067.84375
8068,14,1464.72265625
8068,15,430.80078125
8066,0,0.0
8066,1,172.31919860839844
8066,2,1292.3939895629883
8066,3,4997.2552490234375
8066,4,8099.006591796875
8066,5,11717.714111328125
8066,6,13699.34619140625
8066,7,16025.607421875
8066,8,15681.041015625
8066,9,13957.94140625
8066,10,12665.54296875
8066,11,7323.61328125
8066,12,5858.890625
8066,13,2067.84375
8066,14,1464.72265625
8066,15,430.80078125
8043,0,0.0
8043,1,172.31919860839844
8043,2,1292.3939895629883
8043,3,4997.2552490234375
8043,4,8099.006591796875
8043,5,11717.714111328125
8043,6,13699.34619140625
8043,7,16025.607421875
8043,8,15681.041015625
8043,9,13957.94140625
8043,10,12665.54296875
8043,11,7323.61328125
8043,12,5858.890625
8043,13,2067.84375
8043,14,1464.72265625
8043,15,430.80078125
8053,0,0.0
8053,1,172.31919860839844
8053,2,1292.3939895629883
8053,3,4997.2552490234375
8053,4,8099.006591796875
8053,5,11717.714111328125
8053,6,13699.34619140625
8053,7,16025.607421875
8053,8,15681.041015625
8053,9,13957.94140625
8053,10,12665.54296875
8053,11,7323.61328125
8053,12,5858.890625
8053,13,2067.84375
8053,14,1464.72265625
8053,15,430.80078125
8054,0,0.0
8054,1,172.31919860839844
8054,2,1292.3939895629883
8054,3,4997.2552490234375
8054,4,8099.006591796875
8054,5,11717.714111328125
8054,6,13699.34619140625
8054,7,16025.607421875
8054,8,15681.041015625
8054,9,13957.94140625
8054,10,12665.54296875
8054,11,7323.61328125
8054,12,5858.890625
8054,13,2067.84375
8054,14,1464.72265625
8054,15,430.80078125
8055,0,0.0
8055,1,172.31919860839844
8055,2,1292.3939895629883
8055,3,4997.2552490234375
8055,4,8099.006591796875
8055,5,11717.714111328125
8055,6,13699.34619140625
8055,7,16025.607421875
8055,8,15681.041015625
8055,9,13957.94140625
8055,10,12665.54296875
8055,11,7323.61328125
8055,12,5858.890625
8055,13,2067.84375
8055,14,1464.72265625
8055,15,430.80078125
8348,0,0.0
8348,1,172.31919860839844
8348,2,1292.3939895629883
8348,3,4997.2552490234375
8348,4,8099.006591796875
8348,5,11717.714111328125
8348,6,13699.34619140625
8348,7,16025.607421875
8348,8,15681.041015625
8348,9,13957.94140625
8348,10,12665.54296875
8348,11,7323.61328125
8348,12,5858.890625
8348,13,2067.84375
8348,14,1464.72265625
8348,15,430.80078125
8047,0,0.0
8047,1,172.31919860839844
8047,2,1292.3939895629883
8047,3,4997.2552490234375
8047,4,8099.006591796875
8047,5,11717.714111328125
8047,6,13699.34619140625
8047,7,16025.607421875
8047,8,15681.041015625
8047,9,13957.94140625
8047,10,12665.54296875
8047,11,7323.61328125
8047,12,5858.890625
8047,13,2067.84375
8047,14,1464.72265625
8047,15,430.80078125
8097,0,0.0
8097,1,172.31919860839844
8097,2,1292.3939895629883
8097,3,4997.2552490234375
8097,4,8099.006591796875
8097,5,11717.714111328125
8097,6,13699.34619140625
8097,7,16025.607421875
8097,8,15681.041015625
8097,9,13957.94140625
8097,10,12665.54296875
8097,11,7323.61328125
8097,12,5858.890625
8097,13,2067.84375
8097,14,1464.72265625
8097,15,430.80078125
8067,0,0.0
8067,1,172.31919860839844
8067,2,1292.3939895629883
8067,3,4997.2552490234375
8067,4,8099.006591796875
8067,5,11717.714111328125
8067,6,13699.34619140625
8067,7,16025.607421875
8067,8,15681.041015625
8067,9,13957.94140625
8067,10,12665.54296875
8067,11,7323.61328125
8067,12,5858.890625
8067,13,2067.84375
8067,14,1464.72265625
8067,15,430.80078125
9323,0,0.0
9323,1,258.47879791259766
9323,2,1550.872787475586
9323,3,3877.180908203125
9323,4,6892.770263671875
9323,5,12579.310546875
9323,6,15681.013671875
9323,7,14991.697265625
9323,8,17748.87890625
9323,9,15853.46875
9323,10,12234.7421875
9323,11,9219.13671875
