bins,partners,counts,popsize,shares
15,0,5017,5330,0.9412757973733583
20,0,6250,6645,0.9405568096313017
25,0,6243,6582,0.9484958979033729
30,0,6034,6330,0.9532385466034755
35,0,5459,5706,0.9567122327374693
40,0,4941,5142,0.9609101516919487
45,0,4363,4533,0.9624972424442974
15,1,172,5330,0.03227016885553471
20,1,163,6645,0.02452972159518435
25,1,89,6582,0.013521725919173503
30,1,71,6330,0.011216429699842023
35,1,65,5706,0.011391517700665965
40,1,58,5142,0.011279657720731234
45,1,56,4533,0.012353849547760865
15,2,96,5330,0.01801125703564728
20,2,115,6645,0.01730624529721595
25,2,69,6582,0.010483135824977211
30,2,42,6330,0.006635071090047393
35,2,34,5706,0.005958640028040659
40,2,28,5142,0.0054453520031116295
45,2,18,4533,0.003970880211780278
15,3,44,5330,0.00825515947467167
20,3,107,6645,0.016102332580887887
25,3,124,6582,0.018839258584017016
30,3,118,6330,0.01864139020537125
35,3,73,5706,0.012793550648440238
40,3,68,5142,0.013224426293271101
45,3,61,4533,0.013456871828810942
15,5,1,5330,0.0001876172607879925
20,5,10,6645,0.0015048908954100827
25,5,57,6582,0.008659981768459436
30,5,65,6330,0.010268562401263823
35,5,75,5706,0.013144058885383806
40,5,47,5142,0.009140412290937379
45,5,35,4533,0.00772115596735054
