age,cohort,model_prop_f,model_prop_m
12,1980.0,0.02505446623093682,0.0
13,1980.0,0.04689203925845147,0.0
14,1980.0,0.10065645514223195,0.0021413276231263384
15,1980.0,0.13267543859649122,0.004291845493562232
16,1980.0,0.23026315789473684,0.02045209903121636
17,1980.0,0.32491767288693746,0.07127429805615551
18,1980.0,0.385038503850385,0.13217768147345613
19,1980.0,0.4988986784140969,0.1986970684039088
20,1980.0,0.5314222712238148,0.26521739130434785
21,1980.0,0.6762749445676275,0.36911281489594744
22,1980.0,0.7003329633740288,0.4994511525795829
23,1980.0,0.7258601553829079,0.5986769570011026
24,1980.0,0.7892976588628763,0.6534216335540839
25,1980.0,0.8903803131991052,0.7237569060773481
26,1980.0,0.899103139013453,0.779510022271715
27,1980.0,0.9640852974186308,0.8363028953229399
28,1980.0,0.9673423423423423,0.8716517857142857
29,1980.0,0.9774266365688488,0.9070548712206047
30,1980.0,0.9898305084745763,0.9148773006134969
12,1981.0,0.009771986970684038,0.0
13,1981.0,0.02823018458197611,0.0
14,1981.0,0.058759521218716,0.0010416666666666667
15,1981.0,0.11995637949836423,0.0020833333333333333
16,1981.0,0.19672131147540983,0.0198744769874477
17,1981.0,0.26695842450765866,0.0660377358490566
18,1981.0,0.4010989010989011,0.1310272536687631
19,1981.0,0.4227373068432671,0.19747899159663865
20,1981.0,0.49004424778761063,0.2831578947368421
21,1981.0,0.5681063122923588,0.37354497354497357
22,1981.0,0.6066666666666667,0.4777542372881356
23,1981.0,0.7160356347438753,0.573404255319149
24,1981.0,0.8638392857142857,0.6663113006396588
25,1981.0,0.87248322147651,0.7219251336898396
26,1981.0,0.9023569023569024,0.7858672376873662
27,1981.0,0.9268018018018018,0.8381564844587353
28,1981.0,0.9548532731376975,0.875268817204301
29,1981.0,0.9796839729119639,0.8938120702826585
30,1981.0,0.9943374858437146,0.0
12,1982.0,0.02685284640171858,0.0
13,1982.0,0.04618689581095596,0.0
14,1982.0,0.0967741935483871,0.0010131712259371835
15,1982.0,0.13333333333333333,0.0020325203252032522
16,1982.0,0.19268030139935413,0.019367991845056064
17,1982.0,0.3268608414239482,0.09183673469387756
18,1982.0,0.3656957928802589,0.15605749486652978
19,1982.0,0.4262472885032538,0.23305954825462014
20,1982.0,0.5424836601307189,0.2936344969199179
21,1982.0,0.639344262295082,0.37551440329218105
22,1982.0,0.7141292442497261,0.4726522187822497
23,1982.0,0.8400876232201533,0.5797101449275363
24,1982.0,0.8613861386138614,0.6438923395445134
25,1982.0,0.8974641675854466,0.7185877466251298
26,1982.0,0.9018743109151047,0.7826541274817137
27,1982.0,0.9447513812154696,0.8324607329842932
28,1982.0,0.9789590254706534,0.8554033485540334
29,1982.0,0.9955654101995566,0.0
30,1982.0,0.9988876529477196,0.0
12,1983.0,0.021233569261880688,0.001017293997965412
13,1983.0,0.05279187817258883,0.002034587995930824
14,1983.0,0.0844354018311292,0.003051881993896236
15,1983.0,0.11710794297352342,0.004081632653061225
16,1983.0,0.18775510204081633,0.02044989775051125
17,1983.0,0.23061224489795917,0.05858170606372045
18,1983.0,0.3047034764826176,0.12037037037037036
19,1983.0,0.4385245901639344,0.18801652892561985
20,1983.0,0.5759753593429158,0.2577639751552795
21,1983.0,0.6152263374485597,0.3506224066390041
22,1983.0,0.7789256198347108,0.44490644490644493
23,1983.0,0.8020725388601037,0.5411030176899063
24,1983.0,0.838006230529595,0.6319082377476538
25,1983.0,0.8699271592091571,0.7112970711297071
26,1983.0,0.9414838035527691,0.7788259958071279
27,1983.0,0.9664570230607966,0.8086560364464692
28,1983.0,0.9831932773109243,0.0
29,1983.0,0.9873417721518988,0.0
30,1983.0,0.9883351007423118,0.0
12,1984.0,0.025176233635448138,0.0
13,1984.0,0.05241935483870968,0.0
14,1984.0,0.09182643794147326,0.0019665683382497543
15,1984.0,0.12032355915065723,0.002955665024630542
16,1984.0,0.1884498480243161,0.017786561264822136
17,1984.0,0.2416243654822335,0.0830860534124629
18,1984.0,0.3540183112919634,0.14583333333333334
19,1984.0,0.5204498977505112,0.20812685827552033
20,1984.0,0.5461065573770492,0.28174603174603174
21,1984.0,0.6546762589928058,0.36752988047808766
22,1984.0,0.6834532374100719,0.47005988023952094
23,1984.0,0.7476828012358393,0.5705705705705706
24,1984.0,0.8078512396694215,0.6522613065326633
25,1984.0,0.8787564766839379,0.7210473313192346
26,1984.0,0.9439834024896265,0.7664897649734648
27,1984.0,0.9812695109261186,0.0
28,1984.0,0.993717277486911,0.0
29,1984.0,0.9936642027455121,0.0
30,1984.0,0.9947033898305084,0.0
12,1985.0,0.024630541871921183,0.0
13,1985.0,0.05533596837944664,0.0009569377990430622
14,1985.0,0.0702970297029703,0.0028735632183908046
15,1985.0,0.11904761904761904,0.007670182166826462
16,1985.0,0.16898608349900596,0.02111324376199616
17,1985.0,0.3004975124378109,0.08180943214629452
18,1985.0,0.4351297405189621,0.13391136801541426
19,1985.0,0.4789579158316633,0.19884169884169883
20,1985.0,0.4984924623115578,0.26499032882011603
21,1985.0,0.5639476334340383,0.3488372093023256
22,1985.0,0.6340725806451613,0.4645286686103013
23,1985.0,0.7077856420626896,0.566147859922179
24,1985.0,0.8235294117647058,0.6533203125
25,1985.0,0.8729674796747967,0.7024981074943225
26,1985.0,0.9562118126272913,0.0
27,1985.0,0.9846938775510204,0.0
28,1985.0,0.9866939611054247,0.0
29,1985.0,0.9876796714579056,0.0
30,1985.0,0.9917610710607621,0.0
12,1986.0,0.023234200743494422,0.0009718172983479105
13,1986.0,0.04287045666356011,0.0009718172983479105
14,1986.0,0.08208955223880597,0.0029239766081871343
15,1986.0,0.14392523364485982,0.0048828125
16,1986.0,0.20373831775700935,0.022526934378060724
17,1986.0,0.3621013133208255,0.07639569049951028
18,1986.0,0.39285714285714285,0.14425907752698724
19,1986.0,0.41470311027332707,0.2047244094488189
20,1986.0,0.5132075471698113,0.2781065088757396
21,1986.0,0.5534531693472091,0.37450592885375494
22,1986.0,0.650853889943074,0.4886251236399604
23,1986.0,0.7697431018078021,0.5868917576961271
24,1986.0,0.8282442748091603,0.6470143613000756
25,1986.0,0.8565965583173997,0.0
26,1986.0,0.9616858237547893,0.0
27,1986.0,0.987535953978907,0.0
28,1986.0,0.9932756964457252,0.0
29,1986.0,0.9932562620423893,0.0
30,1986.0,0.9961389961389961,0.0
12,1987.0,0.017110266159695818,0.0
13,1987.0,0.04666666666666667,0.0
14,1987.0,0.08882521489971347,0.0009319664492078285
15,1987.0,0.13110047846889952,0.0037313432835820895
16,1987.0,0.190978886756238,0.02707749766573296
17,1987.0,0.23224568138195778,0.08809746954076851
18,1987.0,0.2666025024061598,0.1387066541705717
19,1987.0,0.3841698841698842,0.21052631578947367
20,1987.0,0.4753623188405797,0.2855796418473139
21,1987.0,0.6463768115942029,0.3854166666666667
22,1987.0,0.7722868217054264,0.4881516587677725
23,1987.0,0.8190661478599222,0.5750943396226416
24,1987.0,0.855609756097561,0.0
25,1987.0,0.8913894324853229,0.0
26,1987.0,0.9363369245837414,0.0
27,1987.0,0.9783037475345168,0.0
28,1987.0,0.9841897233201581,0.0
29,1987.0,0.9940535183349851,0.0
30,1987.0,0.99800796812749,0.0
12,1988.0,0.022644927536231884,0.0
