years,total,cleared,persisted,progressed,cancer,dead
0.0,37635616.0,0.0,37635616.0,0.0,0.0,0.0
0.25,37635616.0,4967355.5,32626640.0,41619.3984375,0.0,0.0
0.5,37635616.0,12649624.0,24785312.0,200678.625,0.0,0.0
0.75,37635616.0,17258768.0,20000062.0,376788.875,0.0,0.0
1.0,37635616.0,20347950.0,16745852.0,541810.375,4.307980060577393,0.0
1.25,37635616.0,22499444.0,14452851.0,683297.375,21.539899826049805,0.0
1.5,37635616.0,24120380.0,12713904.0,801301.5625,30.155858993530273,0.0
1.75,37635616.0,25432174.0,11296565.0,906816.875,56.00373840332031,0.0
2.0,37635616.0,26540588.0,10137190.0,957750.25,86.15961456298828,0.0
2.25,37635616.0,27427852.0,9209501.0,998128.8125,133.5474090576172,0.0
2.5,37635616.0,28195208.0,8368492.5,1071709.125,206.7830352783203,0.0
2.75,37635616.0,28841634.0,7671884.0,1121776.375,323.0985107421875,0.0
3.0,37635616.0,29429016.0,7091224.0,1114926.75,452.337890625,0.0
3.25,37635616.0,29947416.0,6543426.0,1144195.25,581.5773315429688,0.0
3.5,37635616.0,30367220.0,6107277.0,1160376.0,745.280517578125,0.0
3.75,37635616.0,30759856.0,5717629.0,1157205.25,930.523681640625,0.0
4.0,37635616.0,31109364.0,5363426.5,1161681.25,1145.922607421875,0.0
4.25,37635616.0,31428700.0,5033723.5,1171813.625,1382.861572265625,0.0
4.5,37635616.0,31725144.0,4735176.5,1173653.25,1645.6484375,0.0
4.75,37635616.0,31991864.0,4479179.0,1162594.625,1981.670654296875,0.0
5.0,37635616.0,32262028.0,4228519.5,1142765.0,2300.461181640625,4.307980060577393
5.25,37635616.0,32502488.0,4000592.5,1129879.75,2653.7158203125,4.307980060577393
5.5,37635616.0,32718846.0,3805273.0,1108482.0,3015.5859375,4.307980060577393
5.75,37635616.0,32901964.0,3631687.5,1098500.5,3463.61572265625,4.307980060577393
6.0,37635616.0,33095008.0,3447702.5,1089027.25,3877.181884765625,4.307980060577393
6.25,37635616.0,33267812.0,3289819.25,1073621.875,4329.51953125,38.771820068359375
6.5,37635616.0,33437160.0,3132026.5,1061529.25,4863.70947265625,43.07979965209961
6.75,37635616.0,33598320.0,2995407.5,1036426.75,5415.130859375,51.69575881958008
7.0,37635616.0,33762084.0,2858724.0,1008726.5,6018.248046875,64.61969757080078
7.25,37635616.0,33913348.0,2734818.0,980754.75,6617.05712890625,81.85163116455078
