bin,median,pi95_low,pi95_high
0,0.0,0.0,86.15959930419922
1,86.15959930419922,0.0,258.47879791259766
2,1120.0747604370115,689.2767944335938,1550.8727802276612
3,4307.9788818359375,3528.2347969055177,5255.734375
4,8357.484008789062,6978.929443359375,9789.888867187497
5,11717.714111328123,10597.63818359375,13055.342712402344
6,14302.45166015625,12320.7958984375,16025.64990234375
7,15508.65234375,14647.060546875,16628.72314453125
8,15681.0234375,14946.532495117188,17580.899584960935
9,15164.1875,13957.94140625,16071.02314453125
10,13182.50390625,10938.0318359375,13785.625
11,9520.697265625,7323.61328125,10339.21875
12,5600.41015625,4824.96875,6892.8125
13,3187.92578125,2067.84375,3885.823046874997
14,1723.203125,861.6015625,2240.1640625
15,775.4404296875,430.80078125,1120.08203125
