age,cohort,model_prop_f,model_prop_m
12,1980.0,0.0011049723756906078,0.0
13,1980.0,0.004429678848283499,0.0
14,1980.0,0.025527192008879023,0.0
15,1980.0,0.06444444444444444,0.0
16,1980.0,0.11817168338907469,0.0
17,1980.0,0.27932960893854747,0.004166666666666667
18,1980.0,0.3970917225950783,0.007306889352818371
19,1980.0,0.5028058361391695,0.04497907949790795
20,1980.0,0.6171171171171171,0.09873949579831932
21,1980.0,0.7260428410372041,0.20504731861198738
22,1980.0,0.8809523809523809,0.3761854583772392
23,1980.0,0.9601820250284414,0.5776135163674763
24,1980.0,0.992018244013683,0.7309322033898306
25,1980.0,1.0,0.8409331919406151
26,1980.0,1.0,0.9659936238044633
27,1980.0,1.0,0.9957310565635006
28,1980.0,0.9988452655889145,0.9967914438502674
29,1980.0,0.9988439306358381,0.9978540772532188
30,1980.0,1.0,1.0
12,1981.0,0.0,0.0
13,1981.0,0.008714596949891068,0.0
14,1981.0,0.024017467248908297,0.0
15,1981.0,0.060109289617486336,0.0
16,1981.0,0.08342480790340286,0.0
17,1981.0,0.23186813186813188,0.006147540983606557
18,1981.0,0.38257993384785005,0.015400410677618069
19,1981.0,0.5143805309734514,0.042224510813594233
20,1981.0,0.6947835738068813,0.1115702479338843
21,1981.0,0.7344444444444445,0.21739130434782608
22,1981.0,0.8973214285714286,0.4066390041493776
23,1981.0,0.9776035834266518,0.6014568158168574
24,1981.0,0.9921436588103255,0.740625
25,1981.0,1.0,0.8446298227320125
26,1981.0,1.0,0.9612565445026178
27,1981.0,1.0,0.9926470588235294
28,1981.0,1.0,0.9978947368421053
29,1981.0,1.0,1.0
30,1981.0,1.0,0.0
12,1982.0,0.0010672358591248667,0.0
13,1982.0,0.0042780748663101605,0.0
14,1982.0,0.02569593147751606,0.0
15,1982.0,0.03969957081545064,0.0
16,1982.0,0.08709677419354839,0.0
17,1982.0,0.21359223300970873,0.0020100502512562816
18,1982.0,0.34702702702702704,0.01310483870967742
19,1982.0,0.5672451193058569,0.044444444444444446
20,1982.0,0.6923913043478261,0.12449392712550607
21,1982.0,0.7284623773173392,0.22920892494929007
22,1982.0,0.9344262295081968,0.4115853658536585
23,1982.0,0.9802631578947368,0.6042726347914548
24,1982.0,0.9988998899889989,0.7326530612244898
25,1982.0,0.9988962472406181,0.8290685772773797
26,1982.0,0.9988938053097345,0.973305954825462
27,1982.0,0.9988888888888889,0.9969135802469136
28,1982.0,1.0,0.9993031358885017
29,1982.0,0.9988839285714286,0.0
30,1982.0,1.0,0.0
12,1983.0,0.001040582726326743,0.0
13,1983.0,0.007291666666666667,0.0
14,1983.0,0.01564129301355579,0.0
15,1983.0,0.04497907949790795,0.0
16,1983.0,0.1310272536687631,0.0
17,1983.0,0.2675760755508919,0.0
18,1983.0,0.4921135646687697,0.013738959764474975
19,1983.0,0.629746835443038,0.04424778761061947
20,1983.0,0.7082452431289641,0.09261083743842365
21,1983.0,0.8898305084745762,0.20138203356367226
22,1983.0,0.9787234042553191,0.41740850642927796
23,1983.0,0.9989316239316239,0.5966303270564915
24,1983.0,0.9989281886387996,0.746268656716418
25,1983.0,0.9989258861439313,0.8565737051792829
26,1983.0,0.9989247311827957,0.9730538922155688
27,1983.0,1.0,0.995125348189415
28,1983.0,1.0,0.0
29,1983.0,1.0,0.0
30,1983.0,0.9989094874591058,0.0
12,1984.0,0.0,0.0
13,1984.0,0.0010193679918450561,0.0
14,1984.0,0.02349336057201226,0.0
15,1984.0,0.0511770726714432,0.0
16,1984.0,0.12102564102564102,0.0009541984732824427
17,1984.0,0.3442959917780062,0.0019157088122605363
18,1984.0,0.500515995872033,0.01725790987535954
19,1984.0,0.6074380165289256,0.041346153846153845
20,1984.0,0.6666666666666666,0.10779595765158806
21,1984.0,0.7234927234927235,0.23410404624277456
22,1984.0,0.9708029197080292,0.40522243713733075
23,1984.0,0.9916317991631799,0.5813953488372093
24,1984.0,0.993704092339979,0.7334630350194552
25,1984.0,0.9989484752891693,0.8344693281402142
26,1984.0,0.9989440337909187,0.9596662030598053
27,1984.0,0.9989417989417989,0.0
28,1984.0,1.0,0.0
29,1984.0,1.0,0.0
30,1984.0,1.0,0.0
12,1985.0,0.0,0.0
13,1985.0,0.004975124378109453,0.0
14,1985.0,0.023952095808383235,0.0
15,1985.0,0.059,0.0
16,1985.0,0.1743486973947896,0.0
17,1985.0,0.36108324974924777,0.001863932898415657
18,1985.0,0.49899598393574296,0.014925373134328358
19,1985.0,0.5800604229607251,0.04766355140186916
20,1985.0,0.7103935418768921,0.12382739212007504
21,1985.0,0.8927125506072875,0.24812030075187969
22,1985.0,0.9776422764227642,0.4330188679245283
23,1985.0,0.9908256880733946,0.5935727788279773
24,1985.0,0.9979570990806946,0.7279620853080568
25,1985.0,1.0,0.8378378378378378
26,1985.0,1.0,0.0
27,1985.0,1.0,0.0
28,1985.0,1.0,0.0
29,1985.0,1.0,0.0
30,1985.0,1.0,0.0
12,1986.0,0.0019455252918287938,0.0
13,1986.0,0.0038948393378773127,0.0
14,1986.0,0.018536585365853658,0.0
15,1986.0,0.03219512195121951,0.0
