sex,bin,count,probability,mean,median,std,pct_gt_20
f,0,53073,0.9104211338879835,2.6092201122656156,0.0,13.67792848169312,3.674414615318638
f,1,408,0.006998884981559311,2.6092201122656156,0.0,13.67792848169312,3.674414615318638
f,2,379,0.0065014152157131825,2.6092201122656156,0.0,13.67792848169312,3.674414615318638
f,3,338,0.005798095891585899,2.6092201122656156,0.0,13.67792848169312,3.674414615318638
f,4,291,0.004991851788318038,2.6092201122656156,0.0,13.67792848169312,3.674414615318638
f,5,228,0.0039111416073419674,2.6092201122656156,0.0,13.67792848169312,3.674414615318638
f,6,225,0.0038596792177716787,2.6092201122656156,0.0,13.67792848169312,3.674414615318638
f,7,191,0.003276438802641736,2.6092201122656156,0.0,13.67792848169312,3.674414615318638
f,8,168,0.0028818938159361866,2.6092201122656156,0.0,13.67792848169312,3.674414615318638
f,9,164,0.0028132772965091344,2.6092201122656156,0.0,13.67792848169312,3.674414615318638
f,10,126,0.00216142036195214,2.6092201122656156,0.0,13.67792848169312,3.674414615318638
f,11,119,0.002041341452954799,2.6092201122656156,0.0,13.67792848169312,3.674414615318638
f,12,140,0.0024015781799468223,2.6092201122656156,0.0,13.67792848169312,3.674414615318638
f,13,128,0.002195728621665666,2.6092201122656156,0.0,13.67792848169312,3.674414615318638
f,14,99,0.0016982588558195385,2.6092201122656156,0.0,13.67792848169312,3.674414615318638
f,15,80,0.0013723303885410413,2.6092201122656156,0.0,13.67792848169312,3.674414615318638
f,16,90,0.0015438716871086714,2.6092201122656156,0.0,13.67792848169312,3.674414615318638
f,17,71,0.001217943219830174,2.6092201122656156,0.0,13.67792848169312,3.674414615318638
f,18,82,0.0014066386482545672,2.6092201122656156,0.0,13.67792848169312,3.674414615318638
f,19,69,0.0011836349601166481,2.6092201122656156,0.0,13.67792848169312,3.674414615318638
f,20,1826,0.031323441118449265,2.6092201122656156,0.0,13.67792848169312,3.674414615318638
m,0,11488,0.22516660133281066,2.750450803606429,2.0,2.67386680544998,0.0
m,1,10097,0.1979027832222658,2.750450803606429,2.0,2.67386680544998,0.0
m,2,7584,0.14864758918071344,2.750450803606429,2.0,2.67386680544998,0.0
m,3,5587,0.10950607604860839,2.750450803606429,2.0,2.67386680544998,0.0
m,4,4456,0.08733829870638965,2.750450803606429,2.0,2.67386680544998,0.0
m,5,3519,0.06897295178361428,2.750450803606429,2.0,2.67386680544998,0.0
m,6,2791,0.054704037632301056,2.750450803606429,2.0,2.67386680544998,0.0
m,7,2037,0.03992551940415524,2.750450803606429,2.0,2.67386680544998,0.0
m,8,1395,0.0273422187377499,2.750450803606429,2.0,2.67386680544998,0.0
m,9,944,0.018502548020384164,2.750450803606429,2.0,2.67386680544998,0.0
m,10,552,0.010819286554292434,2.750450803606429,2.0,2.67386680544998,0.0
m,11,321,0.006291650333202665,2.750450803606429,2.0,2.67386680544998,0.0
m,12,140,0.0027440219521756176,2.750450803606429,2.0,2.67386680544998,0.0
m,13,63,0.001234809878479028,2.750450803606429,2.0,2.67386680544998,0.0
m,14,29,0.0005684045472363779,2.750450803606429,2.0,2.67386680544998,0.0
m,15,11,0.00021560172481379852,2.750450803606429,2.0,2.67386680544998,0.0
m,16,4,7.840062720501764e-05,2.750450803606429,2.0,2.67386680544998,0.0
m,17,0,0.0,2.750450803606429,2.0,2.67386680544998,0.0
m,18,1,1.960015680125441e-05,2.750450803606429,2.0,2.67386680544998,0.0
m,19,1,1.960015680125441e-05,2.750450803606429,2.0,2.67386680544998,0.0
m,20,0,0.0,2.750450803606429,2.0,2.67386680544998,0.0
