bins,partners,counts,popsize,shares
15,0,5494,5755,0.9546481320590791
20,0,6703,6939,0.9659893356391411
25,0,6498,6691,0.9711552832162607
30,0,6156,6336,0.9715909090909091
35,0,5541,5706,0.9710830704521556
40,0,4865,5003,0.972416550069958
45,0,4295,4439,0.9675602613201172
15,1,114,5755,0.019808861859252822
20,1,89,6939,0.012826055627612049
25,1,63,6691,0.00941563293976984
30,1,68,6336,0.010732323232323232
35,1,63,5706,0.011041009463722398
40,1,60,5003,0.011992804317409555
45,1,60,4439,0.013516557783284524
15,2,100,5755,0.01737619461337967
20,2,62,6939,0.008935005043954461
25,2,33,6691,0.0049319982065461065
30,2,26,6336,0.004103535353535354
35,2,15,5706,0.0026288117770767614
40,2,20,5003,0.003997601439136518
45,2,18,4439,0.004054967334985357
15,3,46,5755,0.007993049522154648
20,3,77,6939,0.01109669981265312
25,3,64,6691,0.009565087430877297
30,3,53,6336,0.00836489898989899
35,3,49,5706,0.00858745180511742
40,3,44,5003,0.00879472316610034
45,3,41,4439,0.009236314485244425
15,5,1,5755,0.0001737619461337967
20,5,8,6939,0.0011529038766392853
25,5,33,6691,0.0049319982065461065
30,5,33,6336,0.005208333333333333
35,5,38,5706,0.006659656501927795
40,5,14,5003,0.0027983210073955628
45,5,25,4439,0.005631899076368551
